"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","1,966.00","2,092.00","2,092.00","1,961.00","","-7.87%"
"01/09/2025","2,134.00","2,134.00","2,134.00","2,134.00","","5.38%"
"01/08/2025","2,025.00","2,025.00","2,025.00","2,025.00","","1.10%"
"01/07/2025","2,003.00","2,003.00","2,003.00","2,003.00","","34.52%"
"01/06/2025","1,489.00","1,422.00","1,975.00","1,422.00","","5.01%"
"01/05/2025","1,418.00","1,411.00","1,421.00","1,267.00","","2.31%"
"01/04/2025","1,386.00","1,587.00","1,587.00","1,241.00","","-13.27%"
"01/03/2025","1,598.00","1,658.00","1,658.00","1,598.00","","30.02%"
"01/02/2025","1,229.00","738.00","1,229.00","738.00","","67.21%"
"01/01/2025","735.00","746.00","746.00","715.00","","-26.28%"
"01/12/2024","997.00","1,298.00","1,298.00","1,298.00","","-26.37%"
"01/11/2024","1,354.00","1,378.00","1,378.00","1,378.00","","-2.45%"
"01/10/2024","1,388.00","2,030.00","2,030.00","1,382.00","","-33.40%"
"01/09/2024","2,084.00","1,919.00","2,110.00","1,890.00","","14.88%"
"01/08/2024","1,814.00","1,668.00","1,827.00","1,655.00","","6.21%"
"01/07/2024","1,708.00","2,158.00","2,179.00","1,708.00","","-16.68%"
"01/06/2024","2,050.00","1,808.00","1,808.00","1,808.00","","12.95%"
"01/05/2024","1,815.00","1,688.00","1,688.00","1,688.00","","7.72%"
"01/04/2024","1,685.00","1,714.00","1,714.00","1,714.00","","-7.47%"
"01/03/2024","1,821.00","2,203.00","2,203.00","2,203.00","","-13.74%"
"01/02/2024","2,111.00","1,388.00","1,388.00","1,388.00","","51.00%"
"01/01/2024","1,398.00","2,093.00","2,093.00","2,093.00","","-33.24%"
"01/12/2023","2,094.00","3,192.00","3,192.00","3,192.00","","-28.70%"
