"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","1,040.00","1,084.50","1,099.00","1,040.00","0.03K","-4.10%"
"02/01/2025","1,084.50","928.00","1,139.50","920.50","1.09K","8.23%"
"01/01/2025","1,002.00","1,090.00","1,098.00","945.00","0.37K","-1.57%"
"12/01/2024","1,018.00","1,102.00","1,163.00","987.00","571.04K","-7.75%"
"11/01/2024","1,103.50","1,156.00","1,222.50","1,100.00","0.63K","-1.08%"
"10/01/2024","1,115.50","1,014.50","1,179.50","1,010.00","0.87K","9.96%"
"09/01/2024","1,014.50","1,220.00","1,394.00","981.50","4.80K","-20.24%"
"08/01/2024","1,272.00","1,600.00","1,600.00","1,225.00","343.56K","-20.43%"
"07/01/2024","1,598.50","1,571.00","1,652.00","1,511.00","0.44K","6.14%"
"06/01/2024","1,506.00","1,091.00","1,558.50","1,091.00","0.64K","27.04%"
"05/01/2024","1,185.50","1,468.50","1,632.00","1,116.50","5.26K","-24.32%"
"04/01/2024","1,566.50","1,338.00","1,755.00","1,338.00","106.52K","7.74%"
"03/01/2024","1,454.00","1,650.00","1,780.00","1,401.50","0.68K","-14.34%"
"02/01/2024","1,697.50","1,581.00","1,900.00","1,581.00","0.44K","6.69%"
"01/01/2024","1,591.00","1,959.00","2,080.00","1,581.00","2.18K","-18.72%"
"12/01/2023","1,957.50","1,879.00","2,655.00","1,800.00","77.55K","8.27%"
"11/01/2023","1,808.00","2,020.00","2,045.50","1,725.50","4.35K","1.72%"
"10/01/2023","1,777.50","1,675.00","1,850.00","1,644.00","7.44K","1.86%"
"09/01/2023","1,745.00","1,540.00","1,863.00","1,525.00","7.78K","15.18%"
"08/01/2023","1,515.00","1,282.00","1,570.00","1,282.00","151.24K","10.34%"
"07/01/2023","1,373.00","1,737.00","1,737.00","1,304.50","0.19K","-15.09%"
"06/01/2023","1,617.00","1,429.50","1,644.50","1,429.50","0.02K","32.22%"
"05/01/2023","1,223.00","1,231.00","1,595.50","1,200.00","0.98K","-7.63%"
"04/01/2023","1,324.00","1,850.00","1,930.00","1,235.00","65.90K","-25.09%"
"03/01/2023","1,767.50","1,752.50","1,852.00","1,641.00","0.22K","-31.47%"
"02/01/2023","2,579.00","2,405.00","3,008.00","2,174.00","0.01K","-3.28%"
"01/01/2023","2,666.50","2,525.50","2,828.50","2,370.00","0.38K","7.26%"
"12/01/2022","2,486.00","2,840.00","2,840.00","2,345.50","44.00K","-25.39%"
"11/01/2022","3,332.00","3,080.00","3,332.00","2,649.50","0.01K","1.02%"
"10/01/2022","3,298.50","3,063.50","3,720.50","2,615.50","0.01K","20.32%"
"09/01/2022","2,741.50","2,140.00","2,742.50","2,102.00","0.51K","29.22%"
"08/01/2022","2,121.50","2,400.00","2,400.00","2,064.50","199.58K","-8.30%"
"07/01/2022","2,313.50","2,405.00","2,573.50","2,251.50","0.05K","-25.46%"
"06/01/2022","3,103.50","3,300.00","3,300.00","2,310.00","0.10K","-0.53%"
"05/01/2022","3,120.00","3,299.00","3,340.00","2,750.00","0.96K","4.35%"
"04/01/2022","2,990.00","3,155.00","3,386.50","2,915.00","50.17K","-20.07%"
"03/01/2022","3,741.00","2,750.00","3,792.00","2,750.00","0.04K","41.60%"
"02/01/2022","2,642.00","2,630.50","2,766.00","2,395.00","0.11K","-0.60%"
"01/01/2022","2,658.00","2,040.00","2,851.00","2,029.00","1.13K","29.44%"
"12/01/2021","2,053.50","2,798.00","2,800.00","2,010.00","14.10K","-20.53%"
"11/01/2021","2,584.00","3,600.00","3,640.00","2,332.50","0.81K","-28.38%"
"10/01/2021","3,608.00","3,750.00","3,995.00","3,320.00","3.73K","-4.14%"
"09/01/2021","3,764.00","2,993.00","3,798.00","2,920.00","23.80K","29.24%"
"08/01/2021","2,912.50","2,276.00","2,992.50","1,955.00","358.42K","37.22%"
"07/01/2021","2,122.50","2,270.00","2,312.00","1,895.00","2.43K","-4.76%"
"06/01/2021","2,228.50","1,497.00","2,350.00","1,497.00","4.52K","38.29%"
"05/01/2021","1,611.50","1,738.50","2,034.50","1,580.00","4.27K","0.09%"
"04/01/2021","1,610.00","1,858.00","1,858.00","1,580.00","478.61K","-5.96%"
"03/01/2021","1,712.00","1,455.00","1,795.50","1,455.00","1.34K","15.33%"
