"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","106.11","103.48","106.95","102.19","","2.70%"
"01/09/2025","103.32","102.30","106.97","102.30","","-0.37%"
"01/08/2025","103.70","100.28","104.63","100.28","","3.27%"
"01/07/2025","100.42","92.72","105.90","92.72","","6.73%"
"01/06/2025","94.09","94.40","94.83","92.01","","-1.98%"
"01/05/2025","95.99","96.17","100.71","95.44","","0.04%"
"01/04/2025","95.95","101.45","101.45","93.33","","-3.58%"
"01/03/2025","99.51","99.18","102.63","98.58","","-3.44%"
"01/02/2025","103.05","103.58","108.20","103.05","","-1.80%"
"01/01/2025","104.94","100.21","104.94","95.89","","4.56%"
"01/12/2024","100.36","104.00","105.61","98.52","","-3.80%"
"01/11/2024","104.32","102.05","105.40","98.38","","0.74%"
"01/10/2024","103.55","107.09","108.79","98.08","","-6.00%"
"01/09/2024","110.16","100.75","110.16","89.57","","9.34%"
"01/08/2024","100.75","100.75","100.75","100.75","","0.92%"
"01/07/2024","99.83","99.83","99.83","99.83","0.03K","-6.04%"
"01/06/2024","106.25","106.25","106.25","106.25","0.03K","-10.11%"
"01/05/2024","118.20","118.20","118.20","118.20","0.07K","1.17%"
"01/04/2024","116.83","116.83","116.83","116.83","","15.93%"
"01/03/2024","100.78","100.78","100.78","100.78","","-13.00%"
"01/02/2024","115.84","115.84","115.84","115.84","","-10.00%"
"01/01/2024","128.71","128.71","128.71","128.71","","-6.60%"
"01/12/2023","137.80","137.80","137.80","137.80","","5.60%"
"01/11/2023","130.49","130.49","130.49","130.49","0.11K","9.91%"
"01/10/2023","118.72","118.72","118.72","118.72","0.11K","3.29%"
"01/09/2023","114.94","114.94","114.94","114.94","0.11K","1.26%"
"01/08/2023","113.51","113.51","113.51","113.51","0.23K","5.16%"
"01/07/2023","107.94","107.94","107.94","107.94","0.06K","-1.55%"
"01/06/2023","109.64","109.64","109.64","109.64","0.15K","10.41%"
"01/05/2023","99.30","99.30","99.30","99.30","","-2.82%"
"01/04/2023","102.18","102.18","102.18","102.18","","-17.81%"
"01/03/2023","124.32","124.32","124.32","124.32","","0.76%"
"01/02/2023","123.38","123.38","123.38","123.38","0.21K","-3.62%"
"01/01/2023","128.01","128.01","128.01","128.01","0.31K","27.12%"
"01/11/2022","100.70","100.70","100.70","100.70","0.33K","32.19%"
"01/10/2022","76.18","76.18","76.18","76.18","0.54K","-18.90%"
"01/09/2022","93.93","93.93","93.93","93.93","0.29K","-6.23%"
"01/08/2022","100.17","100.17","100.17","100.17","0.44K","-12.06%"
"01/07/2022","113.91","113.91","113.91","113.91","0.64K","-1.39%"
"01/06/2022","115.51","115.51","115.51","115.51","0.29K","-13.89%"
"01/05/2022","134.15","134.15","134.15","134.15","0.48K","-8.00%"
"01/04/2022","145.81","145.81","145.81","145.81","0.41K","-9.06%"
"01/03/2022","160.34","160.34","160.34","160.34","0.18K","17.08%"
"01/02/2022","136.95","136.95","136.95","136.95","0.50K","-0.13%"
"01/01/2022","137.13","137.13","137.13","137.13","0.34K","14.42%"
"01/12/2021","119.85","119.85","119.85","119.85","0.25K","17.10%"
"01/11/2021","102.35","102.35","102.35","102.35","0.79K","-1.68%"
"01/10/2021","104.10","104.10","104.10","104.10","0.23K","-10.20%"
"01/09/2021","115.93","115.93","115.93","115.93","0.31K","-21.05%"
"01/08/2021","146.84","146.84","146.84","146.84","0.37K","-17.12%"
"01/07/2021","177.18","177.18","177.18","177.18","0.27K","-12.81%"
"01/06/2021","203.20","203.20","203.20","203.20","0.26K","13.75%"
"01/05/2021","178.63","178.63","178.63","178.63","0.33K","-0.63%"
"01/04/2021","179.77","179.77","179.77","179.77","0.21K","14.72%"
"01/03/2021","156.71","156.71","156.71","156.71","0.29K","-7.33%"
"01/02/2021","169.10","169.10","169.10","169.10","0.42K","11.07%"
"01/01/2021","152.25","152.25","152.25","152.25","0.43K","-2.22%"
"01/12/2020","155.70","155.70","155.70","155.70","0.25K","23.51%"
"01/11/2020","126.06","126.06","126.06","126.06","0.47K","11.46%"
"01/10/2020","113.10","113.10","113.10","113.10","0.42K","-3.47%"
"01/09/2020","117.17","117.17","117.17","117.17","0.49K","0.36%"
"01/08/2020","116.75","116.75","116.75","116.75","0.73K","13.18%"
"01/07/2020","103.15","103.15","103.15","103.15","0.54K","7.92%"
"01/06/2020","95.58","95.58","95.58","95.58","0.33K","-1.51%"
"01/05/2020","97.05","97.05","97.05","97.05","0.47K","20.68%"
"01/04/2020","80.42","80.42","80.42","80.42","0.51K","-1.18%"
"01/03/2020","81.38","81.38","81.38","81.38","1.33K","0.11%"
"01/02/2020","81.29","81.29","81.29","81.29","1.08K","0.83%"
"01/01/2020","80.62","80.62","80.62","80.62","0.50K","-11.00%"
"01/12/2019","90.58","90.58","90.58","90.58","0.67K","7.07%"
"01/11/2019","84.60","84.60","84.60","84.60","0.74K","5.42%"
"01/10/2019","80.25","80.25","80.25","80.25","0.71K","-9.67%"
"01/09/2019","88.84","88.84","88.84","88.84","1.10K","8.79%"
"01/08/2019","81.66","81.66","81.66","81.66","1.15K","-26.20%"
"01/07/2019","110.65","110.65","110.65","110.65","0.99K","2.52%"
"01/06/2019","107.93","107.93","107.93","107.93","0.89K","12.56%"
"01/05/2019","95.89","95.89","95.89","95.89","1.45K","5.37%"
"01/04/2019","91.00","91.00","91.00","91.00","1.63K","7.69%"
"01/03/2019","84.50","84.50","84.50","84.50","1.56K","3.44%"
"01/02/2019","81.69","81.69","81.69","81.69","1.42K","-1.11%"
"01/01/2019","82.61","82.91","82.96","81.00","2.66K","18.61%"
"01/12/2018","69.65","69.65","69.65","69.65","0.69K","10.73%"
"01/11/2018","62.90","62.90","62.90","62.90","0.82K","-13.12%"
"01/10/2018","72.40","72.40","72.40","72.40","0.50K","6.83%"
"01/09/2018","67.77","67.77","67.77","67.77","0.06K","2.79%"
"01/08/2018","65.93","65.93","65.93","65.93","0.03K","-2.69%"
