Year,Month,News_Based_Policy_Uncert_Index
2025,10.0,282.4214172363281
2025,9.0,321.2310791015625
2025,8.0,370.9254150390625
2025,7.0,372.06268310546875
2025,6.0,375.5852966308594
2025,5.0,563.984130859375
2025,4.0,724.9360961914062
2025,3.0,446.30316162109375
2025,2.0,329.290771484375
2025,1.0,236.7870635986328
2024,12.0,218.8455047607422
2024,11.0,225.0490264892578
2024,10.0,109.29090118408203
2024,9.0,127.39911651611328
2024,8.0,138.3664093017578
2024,7.0,144.93679809570312
2024,6.0,144.17843627929688
2024,5.0,123.60752868652344
2024,4.0,139.41201782226562
2024,3.0,116.71149444580078
2024,2.0,106.51286315917969
2024,1.0,131.27366638183594
2023,12.0,107.00157928466797
2023,11.0,140.67718505859375
2023,10.0,133.59408569335938
2023,9.0,117.69878387451172
2023,8.0,76.84422302246094
2023,7.0,132.7106170654297
2023,6.0,179.30804443359375
2023,5.0,205.17645263671875
2023,4.0,165.4175567626953
2023,3.0,200.48992919921875
2023,2.0,152.96728515625
2023,1.0,161.4271240234375
2022,12.0,150.03712463378906
2022,11.0,210.3749237060547
2022,10.0,207.27532958984375
2022,9.0,201.7384796142578
2022,8.0,183.03482055664062
2022,7.0,222.7899169921875
2022,6.0,152.81056213378906
2022,5.0,190.45301818847656
2022,4.0,168.82774353027344
2022,3.0,229.24473571777344
2022,2.0,140.4425048828125
2022,1.0,155.2796630859375
2021,12.0,201.43365478515625
2021,11.0,175.8728790283203
2021,10.0,136.9202423095703
2021,9.0,171.3004608154297
2021,8.0,157.1951904296875
2021,7.0,182.17141723632812
2021,6.0,149.13125610351562
2021,5.0,172.09619140625
2021,4.0,141.3001708984375
2021,3.0,166.78553771972656
2021,2.0,187.51962280273438
2021,1.0,261.30615234375
2020,12.0,326.6166687011719
2020,11.0,327.6095886230469
2020,10.0,305.7666320800781
2020,9.0,252.58782958984375
2020,8.0,263.471435546875
2020,7.0,427.91534423828125
2020,6.0,300.2401428222656
2020,5.0,503.9633483886719
2020,4.0,400.9447326660156
2020,3.0,425.7792053222656
2020,2.0,216.1912078857422
2020,1.0,164.7553253173828
2019,12.0,190.50491333007812
2019,11.0,170.4803466796875
2019,10.0,159.5113983154297
2019,9.0,186.6407012939453
2019,8.0,282.52294921875
2019,7.0,207.74546813964844
2019,6.0,207.9913787841797
2019,5.0,160.858154296875
2019,4.0,109.68636322021484
2019,3.0,180.63168334960938
2019,2.0,123.6392822265625
2019,1.0,284.13592529296875
2018,12.0,226.57688903808594
2018,11.0,164.94219970703125
2018,10.0,136.11465454101562
2018,9.0,120.98519134521484
2018,8.0,114.96138000488281
2018,7.0,176.20509338378906
2018,6.0,134.40277099609375
2018,5.0,162.2766876220703
2018,4.0,139.03536987304688
2018,3.0,187.0958709716797
2018,2.0,114.75556182861328
2018,1.0,160.9672088623047
2017,12.0,140.3501739501953
2017,11.0,111.28268432617188
2017,10.0,125.86585235595703
2017,9.0,116.6200180053711
2017,8.0,137.85971069335938
2017,7.0,141.13832092285156
2017,6.0,120.63846588134766
2017,5.0,129.8880615234375
2017,4.0,157.67654418945312
2017,3.0,154.60968017578125
2017,2.0,177.7777099609375
2017,1.0,195.04063415527344
2016,12.0,161.42477416992188
2016,11.0,254.101318359375
2016,10.0,108.06412506103516
2016,9.0,86.3435287475586
2016,8.0,106.88562774658203
2016,7.0,164.45838928222656
2016,6.0,233.95611572265625
2016,5.0,96.22233581542969
2016,4.0,96.41341400146484
2016,3.0,130.4901580810547
2016,2.0,148.32177734375
2016,1.0,154.85731506347656
2015,12.0,101.96343231201172
2015,11.0,89.58369445800781
2015,10.0,110.7019271850586
2015,9.0,171.93267822265625
2015,8.0,156.5036163330078
2015,7.0,98.73478698730469
2015,6.0,115.88028717041016
2015,5.0,102.3187026977539
2015,4.0,103.54495239257812
2015,3.0,95.97896575927734
2015,2.0,87.60946655273438
2015,1.0,120.54422760009766
