freq,product,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,6000,MWH500-1999,KWH,I_TAX,EUR,AL	0.1243 e	0.1247 e	0.1263 e	0.1268 	0.1316 	0.1362 e	0.1468 e	0.1503 	0.1551 e	0.1703 
S,6000,MWH500-1999,KWH,I_TAX,EUR,AT	0.1421 	0.1474 	0.1534 	0.1940 	0.2143 e	0.3117 e	0.2965 e	0.2384 e	0.2407 e	0.2434 e
S,6000,MWH500-1999,KWH,I_TAX,EUR,BA	0.0854 	0.0874 	0.0847 	0.0867 	0.1044 	0.1065 	0.1056 	0.1119 	0.1114 	0.1289 
S,6000,MWH500-1999,KWH,I_TAX,EUR,BE	0.1426 	0.1464 	0.1732 	0.2349 	0.2863 	0.2743 	0.2619 	0.2153 	0.2197 	0.2348 
S,6000,MWH500-1999,KWH,I_TAX,EUR,BG	0.1011 	0.1155 	0.1876 	0.2084 	0.2152 	0.1791 	0.1634 	0.1363 	0.1587 	0.1526 
S,6000,MWH500-1999,KWH,I_TAX,EUR,CY	0.1608 	0.1786 	0.2298 	0.2921 	0.3739 	0.3262 	0.3261 	0.2893 	0.3041 	0.2736 
S,6000,MWH500-1999,KWH,I_TAX,EUR,CZ	0.1019 	0.1069 	0.1031 	0.1904 	0.2141 	0.2389 	0.2176 	0.2239 	0.2347 	0.2232 
S,6000,MWH500-1999,KWH,I_TAX,EUR,DE	0.2181 	0.2239 	0.2298 	0.2616 	0.2524 	0.2691 	0.2671 	0.2798 	0.2834 	0.2745 
S,6000,MWH500-1999,KWH,I_TAX,EUR,DK	0.2349 	0.2503 	0.2961 	0.3521 	0.4089 	0.1680 	0.2625 	0.2588 	0.2867 	0.2738 
S,6000,MWH500-1999,KWH,I_TAX,EUR,EA	0.1612 	0.1664 	0.1838 	0.2288 	0.2536 	0.2659 	0.2483 	0.2308 	0.2386 	0.2336 
S,6000,MWH500-1999,KWH,I_TAX,EUR,EE	0.1048 	0.1148 	0.1831 	0.1950 	0.3103 	0.1880 	0.1884 	0.1743 	0.1811 	0.1751 
S,6000,MWH500-1999,KWH,I_TAX,EUR,EL	0.1120 	0.1243 	0.2371 	0.2447 	0.2602 	0.2015 	0.1941 	0.1642 	0.2124 	0.2084 
S,6000,MWH500-1999,KWH,I_TAX,EUR,ES	0.1422 	0.1300 	0.1705 	0.2255 	0.2598 	0.1912 	0.1837 	0.1629 	0.1703 	0.1692 
S,6000,MWH500-1999,KWH,I_TAX,EUR,EU27_2020	0.1523 	0.1572 	0.1750 	0.2207 	0.2498 	0.2575 	0.2417 	0.2263 	0.2332 	0.2282 
S,6000,MWH500-1999,KWH,I_TAX,EUR,FI	0.0941 	0.0838 	0.0992 	0.1002 	0.1399 	0.1187 	0.1097 	0.1078 	0.0983 	0.1009 
S,6000,MWH500-1999,KWH,I_TAX,EUR,FR	0.1142 	0.1255 	0.1207 	0.1514 	0.1486 	0.3010 	0.2535 	0.2137 	0.2122 	0.1938 
S,6000,MWH500-1999,KWH,I_TAX,EUR,GE	0.0514 	0.0841 	0.0775 	: 	0.1122 	0.1096 	0.1059 	0.0960 	0.0950 	0.1011 
S,6000,MWH500-1999,KWH,I_TAX,EUR,HR	0.1156 	0.1158 	0.1290 	0.1755 	0.2705 	0.3312 	0.2638 	0.2616 	0.2600 	0.2618 
S,6000,MWH500-1999,KWH,I_TAX,EUR,HU	0.1167 	0.1144 	0.1304 	0.2124 	0.2846 	0.3887 	0.3401 	0.2838 	0.2861 	0.2644 
S,6000,MWH500-1999,KWH,I_TAX,EUR,IE	0.1513 	0.1705 	0.2123 	0.2417 	0.3119 	0.3070 	0.2798 	0.2778 	0.2772 	0.2955 
S,6000,MWH500-1999,KWH,I_TAX,EUR,IS	0.0801 e	0.0552 e	0.0896 e	0.0934 e	0.0996 e	0.0976 e	0.0994 e	0.1074 e	0.1198 e	: 
S,6000,MWH500-1999,KWH,I_TAX,EUR,IT	0.1753 	0.1837 	0.2142 	0.2949 	0.3925 	0.2819 	0.2645 	0.2417 	0.2641 	0.2706 
S,6000,MWH500-1999,KWH,I_TAX,EUR,LI	0.1113 	0.1077 	0.1202 	0.1513 	0.1678 	0.3505 	0.2736 	0.2210 	0.2050 	0.2308 
S,6000,MWH500-1999,KWH,I_TAX,EUR,LT	0.1242 	0.1266 	0.1689 	0.2182 	0.3990 	0.2018 	0.1958 	0.2043 	0.1985 	0.1932 
S,6000,MWH500-1999,KWH,I_TAX,EUR,LU	0.1020 	0.1037 	0.1058 	0.1404 	0.1638 	0.2664 	0.2511 	0.2217 	0.2209 	0.1922 
S,6000,MWH500-1999,KWH,I_TAX,EUR,LV	0.1276 	0.1224 	0.1635 	0.1512 	0.2609 	0.1773 	0.1836 	0.1778 	0.1767 	0.1663 
S,6000,MWH500-1999,KWH,I_TAX,EUR,MD	0.0858 	0.0757 	0.0762 	0.0910 	0.1787 	0.1754 	0.1309 	0.1187 	0.1163 	0.2028 
S,6000,MWH500-1999,KWH,I_TAX,EUR,ME	0.0784 	0.1043 	0.0792 	0.1026 	0.1036 	0.1037 	0.0984 	0.1026 	0.1023 	0.1047 p
S,6000,MWH500-1999,KWH,I_TAX,EUR,MK	0.0892 	0.0888 	0.1445 	0.1988 	0.3793 	0.1995 	0.1378 	0.1187 	0.1720 	0.1494 
S,6000,MWH500-1999,KWH,I_TAX,EUR,MT	0.1409 	0.1412 	0.1471 	0.1414 	0.1415 	0.1482 	0.1482 	0.1479 	0.1413 	0.1415 p
S,6000,MWH500-1999,KWH,I_TAX,EUR,NL	0.1318 	0.1434 	0.1568 	0.2145 	0.2028 	0.2962 	0.2635 	0.2533 	0.2547 	0.2476 
S,6000,MWH500-1999,KWH,I_TAX,EUR,NO	0.0603 	0.1013 	0.1500 	0.1833 	0.2663 	0.1425 	0.1028 	0.1095 	0.0855 	0.1025 
S,6000,MWH500-1999,KWH,I_TAX,EUR,PL	0.1325 	0.1343 	0.1357 	0.1674 	0.1833 	0.2624 	0.2606 	0.2563 	0.2583 	0.2454 
S,6000,MWH500-1999,KWH,I_TAX,EUR,PT	0.1354 	0.1294 	0.1433 	0.1459 	0.1661 	0.1162 	0.1416 	0.1403 	0.1626 	0.1607 
S,6000,MWH500-1999,KWH,I_TAX,EUR,RO	0.1213 	0.1180 	0.1538 	0.2793 d	0.4251 d	0.2120 	0.2045 	0.1903 	0.1986 	0.2045 
S,6000,MWH500-1999,KWH,I_TAX,EUR,RS	0.0955 	0.0954 	0.1048 	0.1157 	0.1404 	0.1658 	0.1787 	0.1835 	0.1593 	0.1686 
