Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,2592.9,1740.2,10
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,2427.9,1640.5,0
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2116.4,1430.1,6
Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,1274.2,861.0,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,1939.0,1328.1,0
Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,1470.0,1000.0,0
Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,1311.8,898.5,10
Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,1477.4,1011.9,10
Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,5203.2,3492.0,0
Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,1192.8,817.0,3
Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,2692.6,1844.2,11
East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,3308.8,2266.3,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,4834.0,3333.8,3
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,1306.7,901.0,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,1375.1,948.3,0
Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,5472.0,3800.0,0
Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,2565.7,1794.2,36
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,3885.3,2775.2,9
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,3051.0,2179.3,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,2882.9,2059.2,38
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,1452.8,1037.5,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,14310.7,10222.0,321
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,12735.6,9096.8,177
Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,4270.1,2986.0,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,2152.3,1537.3,3
Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,2863.3,2002.3,5
"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,1243.2,888.0,0
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,1729.1,1235.0,2
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,1600.4,1151.4,0
Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18756.7,13494.0,45
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,17109.5,11964.8,95
Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3492.4,2512.5,21
Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,1285.8,925.0,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,2549.1,1820.8,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,4317.9,3128.8,42
Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,1390.9,1015.3,0
Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,1539.4,1123.6,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,4488.6,3276.3,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,3156.1,2303.7,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,3585.0,2597.8,0
