date,US_Scrap_Exports
2015-01-01,2226209286
2015-02-01,2119999047
2015-03-01,2429985030
2015-04-01,2558674800
2015-05-01,2838245400
2015-06-01,2761367685
2015-07-01,2388130581
2015-08-01,2294241798
2015-09-01,2242218408
2015-10-01,2104812585
2015-11-01,1985854725
2015-12-01,1866635025
2016-01-01,1354452435
2016-02-01,1646706405
2016-03-01,1775035728
2016-04-01,1796214078
2016-05-01,2298310809
2016-06-01,2047819719
2016-07-01,1736140443
2016-08-01,2220189954
2016-09-01,1909064235
2016-10-01,2087160711
2016-11-01,2046659754
2016-12-01,2231757066
2017-01-01,2055395262
2017-02-01,2139136788
2017-03-01,2268793581
2017-04-01,2393464098
2017-05-01,2342367069
2017-06-01,2310916980
2017-07-01,2392551186
2017-08-01,2572822932
2017-09-01,2720928612
2017-10-01,3068473788
2017-11-01,3032064672
2017-12-01,2724487878
2018-01-01,2424291939
2018-02-01,3041665548
2018-03-01,3251588115
2018-04-01,3236359146
2018-05-01,3222559809
2018-06-01,2687122911
2018-07-01,2933698110
2018-08-01,2988237300
2018-09-01,2694777312
2018-10-01,3027345468
2018-11-01,2879004369
2018-12-01,2724002211
2019-01-01,2111150388
2019-02-01,2397147162
2019-03-01,2834936199
2019-04-01,2896077090
2019-05-01,2970110439
2019-06-01,2861551947
2019-07-01,2647996257
2019-08-01,2935081728
2019-09-01,2258694120
2019-10-01,2547277131
2019-11-01,2466426801
2019-12-01,2360857878
2020-01-01,2346235317
2020-02-01,2470240518
2020-03-01,2486417766
2020-04-01,1842995235
2020-05-01,2016909660
2020-06-01,2050092021
2020-07-01,2349895098
2020-08-01,2753353695
2020-09-01,2286763086
2020-10-01,2981800038
2020-11-01,2931512289
2020-12-01,2696329425
2021-01-01,3000547557
2021-02-01,3404546733
2021-03-01,3762050859
2021-04-01,3628126200
2021-05-01,4480298262
2021-06-01,3848555835
2021-07-01,4092874041
2021-08-01,4887980661
2021-09-01,3817017321
2021-10-01,4172293317
2021-11-01,4213634550
2021-12-01,3713016387
2022-01-01,4025943306
2022-02-01,4100107029
2022-03-01,4381693320
2022-04-01,4986933249
2022-05-01,5176907421
2022-06-01,4310590608
2022-07-01,3655660935
2022-08-01,3649104297
2022-09-01,3494763519
2022-10-01,3755595921
2022-11-01,3297044886
2022-12-01,3582190815
2023-01-01,3467579688
2023-02-01,3694481322
2023-03-01,3872315193
2023-04-01,3710099694
2023-05-01,4070039421
2023-06-01,3735118464
2023-07-01,3183229743
2023-08-01,3825880989
2023-09-01,3558904638
2023-10-01,3892718025
2023-11-01,3564134211
2023-12-01,3511790805
2024-01-01,3351795642
2024-02-01,3863214249
2024-03-01,3983434290
2024-04-01,4036023933
2024-05-01,4493868255
2024-06-01,3905514210
2024-07-01,3861884838
2024-08-01,4337724942
2024-09-01,3890663067
2024-10-01,3966961608
2024-11-01,4354868322
2024-12-01,3558417348
