Year,Quarter_Label,PeriodEndDate,ReportType,Cost_Per_Ton,Gross_Margin_Pct,Inventory_Turnover,AccessionNumber,Cost_of_products_sold,Net_sales,Inventories_net,Tons_Shipped,Quarter,Inventories_Previous,Average_Inventory,Net_sales_millions,COGS_millions,Inventories_millions,Tons_Shipped_thousands
2015,Q1,2015-04-04,10-Q,729.5755102040816,6.552697616060225,1.5962723754928219,0001193125-15-185690,4111158000.0,4399440000.0,2405916000.0,5635000.0,1,2745032000.0,2575474000.0,4399.44,4111.158,2405.916,5635.0
2015,Q2,2015-07-04,10-Q,655.8716763005781,8.865090924862693,1.699567544203145,0001193125-15-287733,3971303000.0,4357609000.0,2267394000.0,6055000.0,2,2405916000.0,2336655000.0,4357.609,3971.303,2267.394,6055.0
2015,Q3,2015-10-03,10-Q,629.2160462349142,12.396977030486706,1.599527273080816,0001193125-15-374781,3701678000.0,4225514000.0,2361071000.0,5883000.0,3,2267394000.0,2314232500.0,4225.514,3701.678,2361.071,5883.0
2015,Q4,2015-12-31,Calculated_Q4,656.9779710144927,1.6368300651798369,1.508864832359373,0001193125-16-481119,3399861000.0,3456437000.0,2145444000.0,5175000.0,4,2361071000.0,2253257500.0,3456.437,3399.861,2145.444,5175.0
2016,Q1,2016-04-02,10-Q,557.6818477553676,7.722840281022377,1.6510288267972417,0001193125-16-586874,3428628000.0,3715576000.0,2007879000.0,6148000.0,1,2145444000.0,2076661500.0,3715.576,3428.628,2007.879,6148.0
2016,Q2,2016-07-02,10-Q,569.8485364720458,13.337032699824672,1.7129892297811948,0001193125-16-677912,3679512000.0,4245772000.0,2288134000.0,6457000.0,2,2007879000.0,2148006500.0,4245.772,3679.512,2288.134,6457.0
2016,Q3,2016-10-01,10-Q,622.4995754797079,14.552486156938684,1.5847174772822867,0001193125-16-764062,3665900000.0,4290236000.0,2338432000.0,5889000.0,3,2288134000.0,2313283000.0,4290.236,3665.9,2338.432,5889.0
2016,Q4,2016-12-31,Calculated_Q4,708.0410958904109,-4.512771154499426,1.7163243324014867,0001193125-17-062124,4134960000.0,3956416000.0,2479958000.0,5840000.0,4,2338432000.0,2409195000.0,3956.416,4134.96,2479.958,5840.0
2017,Q1,2017-04-01,10-Q,615.8762150668286,15.78861346587531,1.4627833267918777,0001193125-17-165702,4054929000.0,4815179000.0,3064170000.0,6584000.0,1,2479958000.0,2772064000.0,4815.179,4054.929,3064.17,6584.0
2017,Q2,2017-07-01,10-Q,661.6988737403675,13.713172510695646,1.3973808638226632,0001193125-17-252608,4465144000.0,5174769000.0,3326563000.0,6748000.0,2,3064170000.0,3195366500.0,5174.769,4465.144,3326.563,6748.0
