PeriodEndDate,ReportType,NetSalesExternal_Mills,NetSalesExternal_Products,NetSalesExternal_Raw,NetSalesExternal_Total,COGS_Mills,COGS_Products,COGS_Raw,COGS_Total
2025-10-04,10-Q,5152,2791,578,8521,4800,2350,540,7690
2025-07-05,10-Q,5210,2650,590,8450,4910,2210,560,7680
2025-04-05,10-Q,4950,2420,510,7880,4650,2080,490,7220
2024-12-31,10-K,19850,10520,2150,32520,18200,8950,1980,29130
2024-09-28,10-Q,5420,2810,530,8760,5100,2450,480,8030
2024-06-29,10-Q,5680,2950,610,9240,5320,2510,550,8380
2024-03-30,10-Q,5120,2780,490,8390,4850,2340,450,7640
2023-12-31,10-K,20500,11200,2800,34500,18900,9400,2600,30900
2023-09-30,10-Q,5350,2890,540,8780,4980,2410,510,7900
2023-07-01,10-Q,5820,3100,590,9510,5420,2580,540,8540
2023-04-01,10-Q,5210,2950,550,8710,4890,2460,500,7850
2022-12-31,10-K,25600,13500,3100,42200,21500,10200,2800,34500
2022-10-01,10-Q,6350,3250,750,10350,5950,2750,680,9380
2022-07-02,10-Q,7100,3600,820,11520,6450,3050,740,10240
2022-04-02,10-Q,6850,3450,780,11080,6120,2910,710,9740
2021-12-31,10-K,21200,11800,2900,35900,17500,9500,2500,29500
2021-10-02,10-Q,6210,3150,690,10050,5600,2650,610,8860
2021-07-03,10-Q,5850,2980,620,9450,5150,2480,550,8180
2021-04-03,10-Q,4650,2420,480,7550,4100,2050,430,6580
2020-12-31,10-K,12500,6800,1200,20500,11800,6100,1150,19050
2020-10-03,10-Q,2980,1750,280,5010,2850,1620,270,4740
2020-07-04,10-Q,2650,1580,220,4450,2580,1490,210,4280
2020-04-04,10-Q,3120,1950,310,5380,2950,1780,290,5020
2019-12-31,10-K,13800,7500,1500,22800,12500,6800,1400,20700
2019-09-28,10-Q,3450,2050,350,5850,3200,1890,330,5420
2019-06-29,10-Q,3620,2180,380,6180,3350,1980,360,5690
2019-03-30,10-Q,3850,2250,410,6510,3520,2050,390,5960
2018-12-31,10-K,15200,8100,1800,25100,13100,7200,1650,21950
2018-09-29,10-Q,4150,2450,480,7080,3750,2210,440,6400
2018-06-30,10-Q,4080,2380,460,6920,3680,2150,420,6250
2018-03-31,10-Q,3650,2120,410,6180,3350,1950,380,5680
2017-12-31,10-K,11800,6500,1250,19550,10500,5900,1180,17580
2017-09-30,10-Q,3050,1780,320,5150,2850,1620,310,4780
2017-07-01,10-Q,2980,1720,290,4990,2750,1580,280,4610
2017-04-01,10-Q,3150,1850,330,5330,2890,1690,320,4900
2016-12-31,10-K,9800,5400,1050,16250,8900,4950,980,14830
2016-10-01,10-Q,2450,1450,260,4160,2310,1380,250,3940
2016-07-02,10-Q,2580,1520,280,4380,2420,1450,270,4140
2016-04-02,10-Q,2350,1380,240,3970,2250,1320,230,3800
2015-12-31,10-K,10500,5200,850,16550,9800,4800,810,15410
2015-10-03,10-Q,2520,1250,190,3960,2450,1180,180,3810
2015-07-04,10-Q,2680,1380,220,4280,2580,1310,210,4100
2015-04-04,10-Q,2450,1290,210,3950,2350,1220,200,3770
