Description;Q1 16;Q2 16;Q3 16;Q4 16;Q1 17;Q2 17;Q3 17;Q4 17;Q1 18;Q2 18;Q3 18;Q4 18;Q1 19;Q2 19;Q3 19;Q4 19;Q1 20;Q2 20;Q3 20;Q4 20;Q1 21;Q2 21;Q3 21;Q4 21;Q1 22;Q2 22;Q3 22;Q4 22;Q1 23;Q2 23;Q3 23;Q4 23;Q1 24;Q2 24;Q3 24;Q4 24;Q1 25;Q2 25;Q3 25
Period Ended On (MM/DD/YYYY);04/02/2016;07/02/2016;10/01/2016;12/31/2016;04/01/2017;07/01/2017;09/30/2017;12/31/2017;03/31/2018;06/30/2018;09/29/2018;12/31/2018;03/30/2019;06/29/2019;09/28/2019;12/31/2019;04/04/2020;07/04/2020;10/03/2020;12/31/2020;04/03/2021;07/03/2021;10/02/2021;12/31/2021;04/02/2022;07/02/2022;10/01/2022;12/31/2022;04/01/2023;07/01/2023;09/30/2023;12/31/2023;03/30/2024;06/29/2024;09/28/2024;12/31/2024;04/05/2025;07/05/2025;10/04/2025
Reported Date (MM/DD/YYYY);05/11/2016;08/10/2016;11/09/2016;02/28/2017;05/10/2017;08/09/2017;11/08/2017;02/28/2018;05/09/2018;08/08/2018;11/07/2018;02/28/2019;05/08/2019;08/07/2019;11/06/2019;02/28/2020;05/13/2020;07/23/2020;11/12/2020;02/26/2021;05/12/2021;08/11/2021;11/10/2021;02/28/2022;05/11/2022;08/10/2022;11/09/2022;03/01/2023;05/10/2023;08/09/2023;11/08/2023;02/27/2024;05/08/2024;08/07/2024;11/06/2024;02/27/2025;05/14/2025;08/13/2025;10/27/2025
Net sales;3,716;4,246;4,290;3,957;4,815;5,175;5,170;5,092;5,568;6,461;6,742;6,296;6,097;5,896;5,465;5,132;5,624;4,327;4,928;5,260;7,017;8,789;10,313;10,364;10,493;11,794;10,501;8,724;8,710;9,523;8,776;7,705;8,137;8,077;7,444;7,076;7,830;8,456;8,521
Cost of products sold ($ mln);3,401;3,661;3,608;3,513;4,055;4,465;4,591;4,572;4,842;5,294;5,452;5,184;5,201;5,120;4,892;4,697;4,995;3,949;4,426;4,542;5,395;6,316;6,907;6,841;7,035;7,690;7,657;6,626;6,712;7,022;6,855;6,311;6,614;6,883;6,686;6,449;7,225;7,233;7,333
gross margin (net sales-cost of products $ mln);315;585;682;443;760;710;579;521;726;1,167;1,290;1,112;896;775;573;435;629;378;502;719;1,622;2,474;3,406;3,523;3,458;4,104;2,843;2,097;1,998;2,502;1,921;1,394;1,523;1,194;758;627;605;1,223;1,188
Inventories, net ($ mln);2,008;2,288;2,338;2,480;3,064;3,327;3,522;3,462;3,709;4,133;4,106;4,554;4,445;4,269;4,072;3,842;3,876;3,373;3,261;3,569;4,360;5,241;5,679;6,011;6,246;6,579;6,046;5,454;5,591;5,632;5,246;5,578;5,590;5,256;5,126;5,106;5,256;5,462;5,393
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
