AccessionNumber,PeriodEndDate,FilingDate,Year,Quarter,Cost_of_products_sold,Net_sales,Inventories_net,Total_tons_shipped_text
0001193125-25-276207,2025-10-04,2025-11-12,2025,Q3,7333000000,8521000000,5393000000,"Total tons shipped to outside customers in the third quarter of 2025 were approximately 6,774,000 tons, a 9% increase from the third quarter of 2024."
0000950170-25-107646,2025-07-05,2025-08-13,2025,Q2,7233000000,8456000000,5462000000,"Total tons shipped to external customers in the second quarter of 2025 were approximately 6,820,000 tons, an 8% increase from the second quarter of 2024."
0000950170-25-071567,2025-04-05,2025-05-14,2025,Q1,7225000000,7830000000,5256000000,"Total tons shipped to outside customers in the first quarter of 2025 were approximately 6,830,000 tons, a 10% increase from the first quarter of 2024."
0000950170-24-121863,2024-09-28,2024-11-06,2024,Q3,6686226000,7444160000,5126493000,"Total tons shipped to outside customers in the third quarter of 2024 were approximately 6,196,000 tons, a 1% decrease from the third quarter of 2023."
0000950170-24-092479,2024-06-29,2024-08-07,2024,Q2,6883117000,8077172000,5255843000,"Total tons shipped to external customers in the second quarter of 2024 were approximately 6,289,000 tons, a 5% decrease from the second quarter of 2023."
0000950170-24-055144,2024-03-30,2024-05-08,2024,Q1,6613903000,8137083000,5589675000,"Total tons shipped to outside customers in the first quarter of 2024 were approximately 6,224,000 tons, a 3% decrease from the first quarter of 2023."
0000950170-23-060729,2023-09-30,2023-11-08,2023,Q3,6854934000,8775734000,5246365000,"Total tons shipped to outside customers in the third quarter of 2023 were approximately 6,240,000 tons, a 3% decrease from the third quarter of 2022."
0000950170-23-040234,2023-07-01,2023-08-09,2023,Q2,7021582000,9523256000,5632324000,"Total tons shipped to outside customers in the second quarter of 2023 were approximately 6,588,000 tons, a 6% decrease from the second quarter of 2022."
0000950170-23-020173,2023-04-01,2023-05-10,2023,Q1,6711778000,8709980000,5590852000,"Total tons shipped to outside customers in the first quarter of 2023 were 6,443,000 tons, a 1% increase from the first quarter of 2022."
0001564590-22-037206,2022-10-01,2022-11-09,2022,Q3,7657364000,10500755000,6046235000,"Total tons shipped to outside customers in the third quarter of 2022 were 6,415,000 tons, an 11% decrease from the third quarter of 2021."
0001564590-22-028899,2022-07-02,2022-08-10,2022,Q2,7690211000,11794474000,6579142000,"Total tons shipped to outside customers in the second quarter of 2022 were 6,977,000 tons, a 7% decrease from the second quarter of 2021."
0001564590-22-019391,2022-04-02,2022-05-11,2022,Q1,7035143000,10493282000,6245679000,"Total tons shipped to outside customers in the first quarter of 2022 were 6,394,000 tons, an 11% decrease from the first quarter of 2021."
0001564590-21-056213,2021-10-02,2021-11-10,2021,Q3,6906950000,10313223000,5678715000,"Total tons shipped to outside customers in the third quarter of 2021 were 7,172,000 tons, a 13% increase from the third quarter of 2020."
0001564590-21-043479,2021-07-03,2021-08-11,2021,Q2,6315661000,8789164000,5240750000,"Total tons shipped to outside customers in the second quarter of 2021 were 7,482,000 tons, a 37% increase from the second quarter of 2020."
0001564590-21-026758,2021-04-03,2021-05-12,2021,Q1,5394703000,7017140000,4360122000,"Total tons shipped to outside customers in the first quarter of 2021 were 7,176,000 tons, a slight decrease from the first quarter of 2020."
0001564590-20-053596,2020-10-03,2020-11-12,2020,Q3,4425765000,4927960000,3260685000,"Total tons shipped to outside customers in the third quarter of 2020 were 6,367,000 tons, a 3% decrease from the third quarter of 2019."
0001564590-20-039639,2020-07-04,2020-08-12,2020,Q2,3949347000,4327306000,3373258000,"Total tons shipped to outside customers in the second quarter of 2020 were 5,479,000 tons, a 19% decrease from the second quarter of 2019."
0001564590-20-025117,2020-04-04,2020-05-13,2020,Q1,4995069000,5624337000,3875590000,"Total tons shipped to outside customers in the first quarter of 2020 were 7,187,000 tons, a 6% increase from the first quarter of 2019."
