Year,Quarter,PeriodEndDate,Cost_Per_Ton,Gross_Margin_Pct,Inventories_millions,Inventories_Previous,Average_Inventory,Inventory_Turnover,Days_Inventory_Outstanding
2025,Q3,2025-10-04,1082.521405373487,13.94,5393.0,5126.493,5259.7465,1.3942,64.6
2025,Q2,2025-07-05,1060.557184750733,14.46,5462.0,5255.843,5358.9215,1.3497,66.7
2025,Q1,2025-04-05,1057.8330893118593,7.73,5256.0,5589.675,5422.8375,1.3323,67.6
2024,Q3,2024-09-28,1079.119754680439,10.18,5126.493,5246.365,5186.429,1.2892,69.8
2024,Q2,2024-06-29,1094.4692319923677,14.78,5255.843,5632.324,5444.0835,1.2643,71.2
2024,Q1,2024-03-30,1062.6450835475578,18.72,5589.675,5590.852,5590.2635,1.1831,76.1
2023,Q3,2023-09-30,1098.5471153846154,21.89,5246.365,6046.235,5646.299999999999,1.2141,74.1
2023,Q2,2023-07-01,1065.8139040680023,26.27,5632.324,6579.142,6105.733,1.15,78.3
2023,Q1,2023-04-01,1041.7162812354493,22.94,5590.852,6245.679,5918.2654999999995,1.1341,79.4
2022,Q3,2022-10-01,1193.6654715510522,27.08,6046.235,5678.715,5862.475,1.3062,68.9
2022,Q2,2022-07-02,1102.2231618174,34.8,6579.142,5240.75,5909.946,1.3012,69.2
2022,Q1,2022-04-02,1100.272599311855,32.96,6245.679,4360.122,5302.9005,1.3267,67.8
2021,Q3,2021-10-02,963.0437813720023,33.03,5678.715,3260.685,4469.7,1.5453,58.2
2021,Q2,2021-07-03,844.1140069500134,28.14,5240.75,3373.258,4307.004,1.4664,61.4
2021,Q1,2021-04-03,751.7702062430324,23.12,4360.122,3875.59,4117.856,1.3101,68.7
2020,Q3,2020-10-03,695.1099418878592,10.19,3260.685,4072.464,3666.5744999999997,1.2071,74.6
2020,Q2,2020-07-04,720.8152947618179,8.73,3373.258,4268.799,3821.0285,1.0336,87.1
2020,Q1,2020-04-04,695.0144705718659,11.19,3875.59,4445.228,4160.409,1.2006,75.0
2019,Q3,2019-09-28,746.2991609458429,10.48,4072.464,4105.714,4089.089,1.1964,75.2
2019,Q2,2019-06-29,761.5246876859012,13.15,4268.799,4133.472,4201.1355,1.2188,73.8
2019,Q1,2019-03-30,768.5432244717009,14.69,4445.228,3708.503,4076.8655,1.2757,70.6
2018,Q3,2018-09-29,773.5601589103292,19.14,4105.714,3522.199,3813.9565000000002,1.4295,63.0
2018,Q2,2018-06-30,735.6098374322635,18.06,4133.472,3326.563,3730.0175,1.4193,63.4
2018,Q1,2018-03-31,694.992536242285,13.05,3708.503,3064.17,3386.3365000000003,1.4299,62.9
2017,Q3,2017-09-30,693.7372317920822,11.2,3522.199,2338.432,2930.3154999999997,1.5668,57.4
2017,Q2,2017-07-01,661.6988737403675,13.71,3326.563,2288.134,2807.3485,1.5905,56.6
2017,Q1,2017-04-01,615.8762150668286,15.79,3064.17,2007.879,2536.0245,1.5989,56.3
2016,Q3,2016-10-01,622.4995754797079,14.55,2338.432,2361.071,2349.7515,1.5601,57.7
2016,Q2,2016-07-02,569.8485364720458,13.34,2288.134,2267.394,2277.764,1.6154,55.7
2016,Q1,2016-04-02,557.6818477553676,7.72,2007.879,2405.916,2206.8975,1.5536,57.9
2015,Q3,2015-10-03,629.2160462349142,12.4,2361.071,,,,
2015,Q2,2015-07-04,655.8716763005781,8.87,2267.394,,,,
2015,Q1,2015-04-04,729.5755102040818,6.55,2405.916,,,,
