"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2025","78.54","75.61","80.37","74.51","610.80K","3.72%"
"01/09/2025","75.72","72.90","78.45","72.78","597.27K","3.74%"
"01/08/2025","72.99","72.30","73.35","70.15","444.49K","0.45%"
"01/07/2025","72.66","69.11","73.35","68.86","482.43K","5.35%"
"01/06/2025","68.97","70.01","76.75","68.71","595.23K","-2.05%"
"01/05/2025","70.41","66.86","75.02","66.24","558.75K","5.80%"
"01/04/2025","66.55","67.98","70.72","60.07","700.94K","-2.10%"
"01/03/2025","67.98","71.80","74.23","66.78","689.36K","-3.00%"
"01/02/2025","70.08","79.90","82.29","70.07","12.56K","-15.37%"
"01/01/2025","82.81","74.24","83.25","71.21","1.43K","14.97%"
"01/12/2024","72.03","70.06","72.03","63.46","3.84K","4.21%"
"01/11/2024","69.12","64.69","72.00","63.19","23.23K","5.93%"
"01/10/2024","65.25","65.20","68.37","60.86","18.25K","-1.49%"
"01/09/2024","66.24","71.01","71.23","63.46","11.51K","-5.78%"
"01/08/2024","70.30","69.55","74.75","67.85","507.51K","1.53%"
"01/07/2024","69.24","67.41","71.95","64.25","","2.79%"
"01/06/2024","67.36","74.44","77.80","65.79","","-9.06%"
"01/05/2024","74.07","69.19","78.10","67.25","","7.04%"
"01/04/2024","69.20","61.22","74.90","56.91","","11.74%"
"01/03/2024","61.93","56.50","65.74","53.50","","9.73%"
"01/02/2024","56.44","64.16","64.87","51.12","","-12.36%"
"01/01/2024","64.40","77.98","78.22","60.86","","-17.41%"
"01/12/2023","77.98","70.79","78.61","65.99","","10.53%"
"01/11/2023","70.55","79.40","80.27","70.44","","-11.16%"
"01/10/2023","79.41","81.42","86.60","78.15","","-2.50%"
"01/09/2023","81.45","86.03","86.32","80.51","","-5.32%"
"01/08/2023","86.03","86.85","90.39","82.31","","-0.90%"
"01/07/2023","86.81","89.12","93.50","85.11","","-3.08%"
"01/06/2023","89.57","80.78","96.00","78.01","","10.90%"
"01/05/2023","80.77","87.39","91.24","79.32","","-7.85%"
"01/04/2023","87.65","91.75","98.43","85.16","","-4.47%"
"01/03/2023","91.75","96.10","96.93","82.13","","-4.31%"
"01/02/2023","95.88","90.00","97.99","86.50","","6.38%"
"01/01/2023","90.13","80.17","90.33","74.75","","13.51%"
"01/12/2022","79.40","84.63","90.41","78.23","","-6.48%"
"01/11/2022","84.90","79.78","85.25","70.50","318.75K","6.16%"
"01/10/2022","79.97","66.55","82.58","64.25","400.79K","19.84%"
"01/09/2022","66.73","80.41","81.35","64.10","479.94K","-16.62%"
"01/08/2022","80.03","78.50","99.22","78.10","386.74K","1.88%"
"01/07/2022","78.55","89.32","90.35","75.49","385.44K","-12.88%"
"01/06/2022","90.16","84.22","90.33","79.10","359.01K","7.31%"
"01/05/2022","84.02","83.59","92.75","77.38","455.24K","-0.51%"
"01/04/2022","84.45","77.00","89.89","76.34","357.82K","10.42%"
"01/03/2022","76.48","82.60","84.43","55.00","739.47K","-6.97%"
"01/02/2022","82.21","89.74","98.49","80.12","569.36K","-7.88%"
"01/01/2022","89.24","79.80","90.63","77.55","489.11K","10.65%"
"01/12/2021","80.65","75.95","91.19","73.25","439.68K","6.50%"
"01/11/2021","75.73","59.41","76.06","57.00","202.62K","28.18%"
"01/10/2021","59.08","62.25","65.80","54.45","131.60K","-4.95%"
"01/09/2021","62.16","61.14","66.00","58.64","115.06K","1.78%"
"01/08/2021","61.07","53.47","61.29","52.86","67.02K","13.75%"
"01/07/2021","53.69","57.09","59.00","50.37","61.62K","-5.44%"
"01/06/2021","56.78","52.77","57.03","49.80","78.48K","8.69%"
"01/05/2021","52.24","49.59","57.48","48.87","100.94K","5.94%"
"01/04/2021","49.31","42.89","49.83","42.53","51.35K","14.97%"
"01/03/2021","42.89","38.16","44.07","37.03","93.56K","14.07%"
"01/02/2021","37.60","33.19","40.88","32.85","63.30K","13.32%"
"01/01/2021","33.18","33.14","35.59","31.56","24.82K","0.73%"
"01/12/2020","32.94","29.69","33.61","29.17","51.92K","11.28%"
"01/11/2020","29.60","24.00","29.80","23.30","49.68K","22.36%"
"01/10/2020","24.19","27.66","28.17","23.40","35.51K","-12.04%"
"01/09/2020","27.50","29.43","31.40","26.49","36.94K","-6.87%"
"01/08/2020","29.53","27.45","30.69","25.94","33.24K","8.49%"
"01/07/2020","27.22","27.55","31.35","25.80","32.22K","-1.66%"
"01/06/2020","27.68","22.07","27.90","21.74","11.11K","24.80%"
"01/05/2020","22.18","19.90","22.95","19.20","20.28K","8.78%"
"01/04/2020","20.39","17.95","23.00","17.66","14.92K","10.69%"
"01/03/2020","18.42","24.42","24.51","15.15","41.37K","-23.31%"
"01/02/2020","24.02","24.15","26.11","23.35","6.40K","-1.19%"
"01/01/2020","24.31","25.34","26.10","23.90","13.11K","-3.46%"
"01/12/2019","25.18","25.70","27.59","24.58","2.21K","-2.93%"
"01/11/2019","25.94","26.64","26.67","24.08","3.23K","-1.56%"
"01/10/2019","26.35","25.51","26.98","23.10","10.82K","2.29%"
"01/09/2019","25.76","26.94","28.34","25.78","7.21K","-5.88%"
"01/08/2019","27.37","29.46","30.73","25.92","4.08K","-6.84%"
"01/07/2019","29.38","28.10","31.22","27.10","7.39K","6.84%"
"01/06/2019","27.50","25.10","28.65","24.98","8.02K","8.06%"
"01/05/2019","25.45","25.83","27.65","25.68","4.09K","-7.22%"
"01/04/2019","27.43","22.46","28.36","22.46","10.82K","20.20%"
"01/03/2019","22.82","24.50","24.97","21.92","3.55K","-1.34%"
"01/02/2019","23.13","23.08","25.05","20.23","5.76K","-3.22%"
"01/01/2019","23.90","25.45","26.60","23.95","13.79K","-11.68%"
"01/12/2018","27.06","22.85","27.41","22.25","5.72K","19.21%"
"01/11/2018","22.70","18.30","23.32","18.30","7.65K","22.77%"
"01/10/2018","18.49","24.42","26.20","17.51","14.82K","-24.93%"
"01/09/2018","24.63","22.22","26.51","22.21","3.38K","6.16%"
"01/08/2018","23.20","19.62","23.65","19.56","4.00K","19.96%"
"01/07/2018","19.34","19.16","19.16","19.16","2.10K","17.14%"
"01/06/2018","16.51","16.51","16.51","16.51","0.55K","2.17%"
"01/05/2018","16.16","16.39","16.39","16.39","0.08K","10.68%"
"01/04/2018","14.60","14.60","14.60","14.60","0.42K","3.99%"
"01/03/2018","14.04","14.04","14.04","14.04","7.10K","30.85%"
"01/02/2018","10.73","10.73","10.73","10.73","0.01K","8.93%"
"01/01/2018","9.85","9.85","9.85","9.85","1.00K","14.53%"
"01/12/2017","8.60","7.69","7.69","7.69","0.70K","7.90%"
"01/11/2017","7.97","7.97","7.97","7.97","0.65K","2.05%"
"01/10/2017","7.81","7.81","7.81","7.81","0.75K","2.90%"
"01/09/2017","7.59","7.59","7.59","7.59","0.03K","16.06%"
"01/08/2017","6.54","6.54","6.54","6.54","0.27K","14.14%"
"01/07/2017","5.73","5.73","5.73","5.73","0.02K","5.72%"
"01/06/2017","5.42","5.42","5.42","5.42","4.38K","1.31%"
"01/05/2017","5.35","5.35","5.35","5.35","0.34K","8.30%"
"01/04/2017","4.94","4.94","4.94","4.94","0.02K","-1.98%"
"01/03/2017","5.04","5.04","5.04","5.04","11.91K","-9.52%"
"01/02/2017","5.57","5.57","5.57","5.57","0.23K","-2.11%"
"01/01/2017","5.69","5.69","5.69","5.69","0.10K","-13.00%"
"01/12/2016","6.54","4.62","5.89","3.97","264.40K","42.79%"
"01/11/2016","4.58","5.97","6.52","4.35","37.99K","-22.37%"
"01/10/2016","5.90","5.22","5.93","5.22","0.03K","18.95%"
"01/09/2016","4.96","4.35","5.19","3.97","0.14K","11.21%"
"01/08/2016","4.46","4.56","4.87","4.49","1.23K","1.13%"
"01/07/2016","4.41","4.46","4.85","4.40","0.12K","-1.12%"
"01/06/2016","4.46","5.98","6.36","4.89","3.32K","-26.64%"
"01/05/2016","6.08","5.83","5.97","5.81","2.56K","-1.46%"
"01/04/2016","6.17","5.32","6.06","5.32","0.15K","18.65%"
"01/03/2016","5.20","4.96","5.20","4.61","9.22K","4.21%"
"01/02/2016","4.99","5.85","5.85","4.63","0.16K","-17.38%"
"01/01/2016","6.04","8.06","8.06","5.90","6.56K","-26.52%"
"01/12/2015","8.22","8.56","8.65","7.90","246.65K","-4.20%"
"01/11/2015","8.58","8.50","8.62","8.38","0.04K","-0.58%"
"01/10/2015","8.63","8.15","8.56","8.15","0.30K","6.15%"
"01/09/2015","8.13","7.99","8.27","7.90","4.70K","0.99%"
"01/08/2015","8.05","7.91","8.29","7.80","0.68K","2.55%"
"01/07/2015","7.85","7.47","8.04","7.33","0.53K","5.80%"
"01/06/2015","7.42","7.25","7.60","7.25","15.61K","1.37%"
"01/05/2015","7.32","7.55","7.68","7.17","2.56K","-0.95%"
"01/04/2015","7.39","7.03","7.50","6.80","5.63K","6.79%"
"01/03/2015","6.92","7.01","7.07","6.23","58.79K","-2.54%"
"01/02/2015","7.10","7.08","7.79","6.81","23.60K","0.28%"
"01/01/2015","7.08","6.92","7.34","6.63","25.24K","-2.34%"
"01/12/2014","7.25","7.03","7.26","6.45","265.77K","2.98%"
"01/11/2014","7.04","6.50","7.21","6.47","73.84K","11.04%"
"01/10/2014","6.34","5.78","6.31","5.50","7.85K","8.93%"
"01/09/2014","5.82","6.32","6.37","5.65","16.93K","-8.78%"
